Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Sale Year,Sale Month,Sale Amount_Log,Sale Amount_Scaled,Is_Undervalued,Property Type_Commercial,Property Type_Condo,Property Type_Four Family,Property Type_Industrial,Property Type_Residential,Property Type_Single Family,Property Type_Three Family,Property Type_Two Family,Property Type_Unspecified,Property Type_Vacant Land,Residential Type_Four Family,Residential Type_Non-Residential,Residential Type_Single Family,Residential Type_Three Family,Residential Type_Two Family
18364,2018,2019-09-03,North Haven,67 MONTOWESE AVE,148960.0,202000.0,0.7374,2019,9,12.216027926866138,-0.14566915534306127,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
21218,2021,2022-04-25,Bethel,526 COPPER SQUARE DRIVE,212730.0,382000.0,0.5568,2022,4,12.853178505386332,0.5489888013546831,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
80487,2008,2009-07-31,Fairfield,245 UNQUOWA ROAD #109,206220.0,325000.0,0.634523077,2009,7,12.691583538230217,0.37280873736099124,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
70264,2007,2008-08-15,Darien,248 NOROTON AVE,423430.0,1137100.0,0.3723771,2008,8,13.943992599042556,1.7382566369049868,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200945,2020,2021-05-27,New Haven,86 OAK RDIGE DR # 38,26670.0,75000.0,0.3556,2021,5,11.225256725762893,-1.2258645146752774,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10173,2001,2002-08-21,Bethany,29 MESA DR,54640.0,153750.0,0.355382114,2002,8,11.943089689712654,-0.4432420125569306,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120814,2012,2013-06-12,Norwalk,31 STUART AVE B16,149940.0,135000.0,1.110666667,2013,6,11.813037464800539,-0.5850323771380432,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
130146,2013,2014-08-05,Oxford,30 PUNKUP RD,228600.0,329000.0,0.694832827,2014,8,12.703816069256566,0.3861453414456035,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
201358,2020,2021-07-06,Milford,75 AUDUBON CLOSE,163310.0,365000.0,0.4474,2021,7,12.807655372286902,0.4993568812287142,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19138,2019,2019-11-04,Hartford,14 ESSEX ST #005E,15680.0,61450.0,0.2552,2019,11,11.025995388254772,-1.4431106072453148,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42511,2004,2005-07-21,Waterbury,108 OVERTON AVE,87850.0,200000.0,0.43925,2005,7,12.206077645517674,-0.1565175204597429,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
20039,2002,2003-03-03,Chester,34 KINGS HWY,95000.0,217500.0,0.436781609,2003,3,12.289958727201455,-0.06506557366345599,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
160495,2016,2017-08-07,Southbury,341 A HERITAGE VILLAGE,102870.0,170000.0,0.605117647,2017,8,12.043559598368038,-0.3337039789915318,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
140373,2014,2015-09-04,East Lyme,11 BRIGHTWATER RD,251230.0,368000.0,0.682690217,2015,9,12.815840934538679,0.5082812487800202,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
70209,2007,2007-12-24,Hartford,126-128 VINE ST,59363.0,230000.0,0.2581,2007,12,12.345838935721968,-0.0041417782855111525,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
160394,2016,2017-03-15,Bristol,89 JUDD ST,116690.0,100000.0,1.1669,2017,3,11.51293546492023,-0.9122207201541292,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
200188,2020,2021-01-19,New Canaan,24 DOUGLAS RD,1309140.0,2115000.0,0.6189,2021,1,14.564565843275641,2.414841036814753,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
18069,2018,2018-12-17,Montville,320 CHESTERFIELD RD,159430.0,240000.0,0.6642,2018,12,12.388398368982115,0.042258946980047875,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40041,2004,2004-10-20,Wethersfield,334 SILAS DEANE HWY,125900.0,175000.0,0.719428571,2004,10,12.072546967175038,-0.3021002936707371,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
15000075,2015,2016-08-24,Sterling,73 CHURCH ST,89860.0,39000.0,2.304102564,2016,8,10.571342565808699,-1.9387990854395505,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
90094,2009,2009-12-01,Shelton,27 SPRUCE HILL RD,270130.0,291000.0,0.928281787,2009,12,12.581081982573842,0.2523336291966707,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
20127,2002,2003-03-03,Old Saybrook,8 PRATT RD,107300.0,335000.0,0.320298507,2003,3,12.721888795877375,0.4058492603771776,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
180003,2018,2018-10-01,Fairfield,205 AUTUMN RIDGE ROAD,302470.0,325000.0,0.9306,2018,10,12.691583538230217,0.37280873736099124,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
100023,2010,2010-11-05,Vernon,565-1B5 TALCOTTVILLE RD,54400.0,77000.0,0.706493506,2010,11,11.251573687764477,-1.1971722593955736,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20376,2002,2003-03-10,Shelton,34 WOODLAND PARK,55650.0,120000.0,0.46375,2003,3,11.695255355062795,-0.713445161249449,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
60209,2006,2007-09-27,Haddam,113 SILVERSPRING DR,75770.0,135000.0,0.561259259,2007,9,11.813037464800539,-0.5850323771380432,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
120218,2012,2013-01-31,Meriden,65 MELVILLE AVE,97160.0,159800.0,0.608010013,2013,1,11.98168457011701,-0.40116366928217256,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
40618,2004,2005-02-28,Meriden,96 CURTIS ST,115010.0,302000.0,0.380827815,2005,2,12.618185607609803,0.292786120683725,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
70270,2007,2007-12-19,Norwalk,166 ROWAYTON AVE #2,1123920.0,1845000.0,0.609170732,2007,12,14.427990377462038,2.2659386623753117,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
170177,2017,2018-03-20,East Lyme,8 HONEYSUCKLE LANE,201530.0,315000.0,0.6397,2018,3,12.660331092405904,0.3387355356877763,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
210512,2021,2022-03-01,Hamden,43 DESSA D,182140.0,365000.0,0.499,2022,3,12.807655372286902,0.4993568812287142,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
