Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type
18364,2018,09/03/2019,North Haven,67 MONTOWESE AVE,148960.0,202000.0,0.7374,Single Family,Single Family
21218,2021,04/25/2022,Bethel,526 COPPER SQUARE DRIVE,212730.0,382000.0,0.5568,Residential,Condo
80487,2008,07/31/2009,Fairfield,245 UNQUOWA ROAD #109,206220.0,325000.0,0.634523077,Condo,Condo
70264,2007,08/15/2008,Darien,248 NOROTON AVE,423430.0,1137100.0,0.3723771,Single Family,Single Family
200945,2020,05/27/2021,New Haven,86 OAK RDIGE DR # 38,26670.0,75000.0,0.3556,Residential,Condo
10173,2001,08/21/2002,Bethany,29 MESA DR,54640.0,153750.0,0.355382114,,
120814,2012,06/12/2013,Norwalk,31 STUART AVE B16,149940.0,135000.0,1.110666667,Condo,Condo
130146,2013,08/05/2014,Oxford,30 PUNKUP RD,228600.0,329000.0,0.694832827,Single Family,Single Family
201358,2020,07/06/2021,Milford,75 AUDUBON CLOSE,163310.0,365000.0,0.4474,Residential,Condo
19138,2019,11/04/2019,Hartford,14 ESSEX ST #005E,15680.0,61450.0,0.2552,Condo,Condo
42511,2004,07/21/2005,Waterbury,108 OVERTON AVE,87850.0,200000.0,0.43925,,
20039,2002,03/03/2003,Chester,34 KINGS HWY,95000.0,217500.0,0.436781609,,
160495,2016,08/07/2017,Southbury,341 A HERITAGE VILLAGE,102870.0,170000.0,0.605117647,Condo,Condo
140373,2014,09/04/2015,East Lyme,11 BRIGHTWATER RD,251230.0,368000.0,0.682690217,Single Family,Single Family
70209,2007,12/24/2007,Hartford,126-128 VINE ST,59363.0,230000.0,0.2581,Two Family,Two Family
160394,2016,03/15/2017,Bristol,89 JUDD ST,116690.0,100000.0,1.1669,Two Family,Two Family
200188,2020,01/19/2021,New Canaan,24 DOUGLAS RD,1309140.0,2115000.0,0.6189,Residential,Single Family
18069,2018,12/17/2018,Montville,320 CHESTERFIELD RD,159430.0,240000.0,0.6642,Single Family,Single Family
40041,2004,10/20/2004,Wethersfield,334 SILAS DEANE HWY,125900.0,175000.0,0.719428571,,
15000075,2015,08/24/2016,Sterling,73 CHURCH ST,89860.0,39000.0,2.304102564,Two Family,Two Family
90094,2009,12/01/2009,Shelton,27 SPRUCE HILL RD,270130.0,291000.0,0.928281787,Single Family,Single Family
110008,2011,10/26/2011,North Canaan,395 ASHLEY FALLS RD,145380.0,26250.0,5.538285714,Single Family,Single Family
20127,2002,03/03/2003,Old Saybrook,8 PRATT RD,107300.0,335000.0,0.320298507,,
180003,2018,10/01/2018,Fairfield,205 AUTUMN RIDGE ROAD,302470.0,325000.0,0.9306,Single Family,Single Family
100023,2010,11/05/2010,Vernon,565-1B5 TALCOTTVILLE RD,54400.0,77000.0,0.706493506,Condo,Condo
